,$,'(',')',';','addop','assign','else','float','id','if','int','mulop','num','relop','while','{','}',
ASSIGNMENT,Error,Error,Error,Error,Error,Error,Error,Error,'id' 'assign' EXPRESSION ';',Error,Error,Error,Error,Error,Error,Error,sync,
DECLARATION,Error,Error,Error,Error,Error,Error,Error,PRIMITIVE_TYPE 'id' ';',Error,Error,PRIMITIVE_TYPE 'id' ';',Error,Error,Error,Error,Error,sync,
EXPRESSION,Error,SIMPLE_EXPRESSION EXPRESSION`,sync,sync,Error,Error,Error,Error,SIMPLE_EXPRESSION EXPRESSION`,Error,Error,Error,SIMPLE_EXPRESSION EXPRESSION`,SIMPLE_EXPRESSION EXPRESSION`,Error,Error,Error,
EXPRESSION`,Error,Error,sync,sync,Error,Error,Error,Error,Error,Error,Error,Error,Error,'relop' SIMPLE_EXPRESSION,Error,Error,Error,
FACTOR,Error,'(' EXPRESSION ')',Error,Error,Error,Error,Error,Error,'id',Error,Error,Error,'num',Error,Error,Error,Error,
IF,Error,Error,Error,Error,Error,Error,Error,Error,Error,'if' '(' EXPRESSION ')' '{' STATEMENT '}' 'else' '{' STATEMENT '}',Error,Error,Error,Error,Error,Error,sync,
METHOD_BODY,sync,Error,Error,Error,Error,Error,Error,STATEMENT_LIST,STATEMENT_LIST,STATEMENT_LIST,STATEMENT_LIST,Error,Error,Error,STATEMENT_LIST,Error,Error,
PRIMITIVE_TYPE,Error,Error,Error,Error,Error,Error,Error,'float',sync,Error,'int',Error,Error,Error,Error,Error,Error,
SIGN,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,'relop',Error,Error,Error,
SIMPLE_EXPRESSION,Error,TERM SIMPLE_EXPRESSION`,sync,sync,Error,Error,Error,Error,TERM SIMPLE_EXPRESSION`,Error,Error,Error,TERM SIMPLE_EXPRESSION`,SIGN TERM SIMPLE_EXPRESSION`,Error,Error,Error,
SIMPLE_EXPRESSION`,Error,Error,,,'addop' TERM SIMPLE_EXPRESSION`,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,
STATEMENT,Error,Error,Error,Error,Error,Error,Error,DECLARATION,ASSIGNMENT,IF,DECLARATION,Error,Error,Error,WHILE,Error,sync,
STATEMENT_LIST,sync,Error,Error,Error,Error,Error,Error,STATEMENT STATEMENT_LIST`,STATEMENT STATEMENT_LIST`,STATEMENT STATEMENT_LIST`,STATEMENT STATEMENT_LIST`,Error,Error,Error,STATEMENT STATEMENT_LIST`,Error,Error,
STATEMENT_LIST`,,Error,Error,Error,Error,Error,Error,STATEMENT STATEMENT_LIST`,STATEMENT STATEMENT_LIST`,STATEMENT STATEMENT_LIST`,STATEMENT STATEMENT_LIST`,Error,Error,Error,STATEMENT STATEMENT_LIST`,Error,Error,
TERM,Error,FACTOR TERM`,Error,Error,Error,Error,Error,Error,FACTOR TERM`,Error,Error,Error,FACTOR TERM`,Error,Error,Error,Error,
TERM`,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,'mulop' FACTOR TERM`,Error,Error,Error,Error,Error,
WHILE,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,'while' '(' EXPRESSION ')' '{' STATEMENT '}',Error,sync,
